Date,Open,High,Low,Close,Adj Close,Volume
1/15/2021,11.5,11.75,10.81,10.93,10.93,9244300
1/19/2021,11.13,11.2,10.73,11.09,11.09,4573400
1/20/2021,10.99,11.21,10.77,10.95,10.95,3050800
1/21/2021,10.95,11.03,10.642,10.74,10.74,3494400
1/22/2021,10.6,10.84,10.41,10.65,10.65,2825300
1/25/2021,10.54,10.62,9.81,9.91,9.91,5642600
1/26/2021,9.93,10.61,9.917,10.38,10.38,5212700
1/27/2021,10.09,10.82,9.97,10.34,10.34,4931100
1/28/2021,10.38,10.74,10.12,10.48,10.48,3858300
1/29/2021,10.45,11.07,10.23,10.35,10.35,5436900
2/1/2021,10.36,10.47,10.02,10.2,10.2,2873300
2/2/2021,10.35,11.6,10.2,11.35,11.35,9871800
2/3/2021,11.67,12.75,11.53,12.25,12.25,12799700
2/4/2021,12.4,12.77,11.65,12.19,12.19,6345400
2/5/2021,12.29,12.4,11.88,12.01,12.01,3803900
2/8/2021,12.16,12.93,12.08,12.82,12.82,6099600
2/9/2021,13.16,14.08,12.97,13.59,13.59,14040500
2/10/2021,15.6,15.83,13.83,15.55,15.55,30221800
2/11/2021,15.37,15.4,12.02,12.15,12.15,25226700
2/12/2021,11.65,13.09,11.2,12.27,12.27,23371800
2/16/2021,12.817,13.47,12.54,13.19,13.19,11061300
2/17/2021,12.909,12.97,12.2,12.48,12.48,6293500
2/18/2021,12.3,12.68,11.705,11.72,11.72,6125900
2/19/2021,11.79,12.38,11.77,12.3,12.3,4608900
2/22/2021,11.875,12.18,11.67,11.69,11.69,4551600
2/23/2021,11.2,11.28,10.1,11.13,11.13,6365600
2/24/2021,11.3,11.49,11.11,11.41,11.41,4466000
2/25/2021,11.41,11.48,10.715,10.79,10.79,4620400
2/26/2021,10.5,11.04,10.32,10.45,10.45,5245600
3/1/2021,10.61,11.17,10.55,11.03,11.03,3917000
3/2/2021,11.08,11.67,10.575,10.62,10.62,6069400
3/3/2021,10.7,10.843,10.21,10.31,10.31,3732500
3/4/2021,10.14,10.4,9.37,9.64,9.64,6800000
3/5/2021,9.67,9.75,8.66,9.48,9.48,5733100
3/8/2021,9.5,9.79,9.177,9.44,9.44,3046400
3/9/2021,9.76,10.08,9.66,9.96,9.96,3345600
3/10/2021,10.16,10.32,9.5,9.73,9.73,3708300
3/11/2021,9.95,10.52,9.83,10.48,10.48,4363000
3/12/2021,10.19,10.49,9.97,10.34,10.34,4066900
3/15/2021,10.465,10.91,10.3,10.67,10.67,5134700
3/16/2021,10.91,10.94,10.04,10.19,10.19,3675900
3/17/2021,9.97,10.24,9.83,10.23,10.23,3977600
3/18/2021,10.19,10.45,9.76,9.79,9.79,3900200
3/19/2021,9.9,10.26,9.82,10.15,10.15,2133600
3/22/2021,10.21,10.21,9.67,9.75,9.75,2421900
3/23/2021,9.67,9.85,9.48,9.54,9.54,2400600
3/24/2021,9.59,9.7,9.25,9.26,9.26,3384300
3/25/2021,9.09,9.545,8.98,9.51,9.51,2802500
3/26/2021,9.56,9.63,9.11,9.29,9.29,2709100
3/29/2021,9.25,9.48,9.1,9.16,9.16,2584400
3/30/2021,9.09,9.32,8.96,9.3,9.3,1764600
3/31/2021,9.46,9.72,9.36,9.46,9.46,3165800
4/1/2021,9.63,9.87,9.4,9.41,9.41,2312600
4/5/2021,9.57,9.59,9.22,9.33,9.33,1583800
4/6/2021,9.3,9.34,9.06,9.13,9.13,1985300
4/7/2021,9.12,9.12,8.71,8.71,8.71,3046400
4/8/2021,8.77,8.87,8.545,8.79,8.79,1830300
4/9/2021,8.74,9.085,8.65,8.88,8.88,2786100
4/12/2021,8.69,8.72,8.12,8.17,8.17,3788400
4/13/2021,8.065,8.47,8.04,8.41,8.41,2688900
4/14/2021,8.36,8.4,8.16,8.24,8.24,1854900
4/15/2021,8.3,8.45,8.06,8.14,8.14,2456500
4/16/2021,8.19,8.38,7.94,8.36,8.36,2235500
4/19/2021,8.32,8.55,8.12,8.2,8.2,2284000
4/20/2021,8.221,8.31,7.65,7.71,7.71,3457900
4/21/2021,7.655,8.12,7.568,8.08,8.08,2104200
4/22/2021,8.11,8.24,7.985,8.03,8.03,2373200
4/23/2021,8.07,8.29,7.93,8.23,8.23,1506300
4/26/2021,8.26,8.41,8.1,8.36,8.36,1520400
4/27/2021,8.38,8.44,8.195,8.21,8.21,1178600
4/28/2021,8.11,8.51,7.96,8.42,8.42,2213000
4/29/2021,8.39,8.4,8,8.28,8.28,2437700
4/30/2021,8.11,8.34,8.05,8.14,8.14,1346200
5/3/2021,8.15,8.16,7.815,7.83,7.83,2435300
5/4/2021,7.77,7.97,7.54,7.96,7.96,2758900
5/5/2021,7.94,8,7.773,7.89,7.89,1902900
5/6/2021,7.83,7.84,7.49,7.62,7.62,2838200
5/7/2021,7.19,7.99,7.16,7.69,7.69,5174200
5/10/2021,7.68,7.7,7.26,7.29,7.29,3797700
5/11/2021,7.09,7.44,6.99,7.38,7.38,2998800
5/12/2021,7.37,7.49,7.12,7.16,7.16,2172300
5/13/2021,7.14,7.39,7,7.175,7.175,2747700
5/14/2021,7.2,7.385,7.13,7.29,7.29,1769500
5/17/2021,7.32,7.45,7.211,7.43,7.43,1801800
5/18/2021,7.47,7.63,7.42,7.53,7.53,1578000
5/19/2021,7.44,7.54,7.25,7.42,7.42,1555600
5/20/2021,7.49,7.64,7.33,7.42,7.42,1313800
5/21/2021,7.47,7.52,7.35,7.38,7.38,1182100
5/24/2021,7.4,7.439,7.22,7.34,7.34,1214000
5/25/2021,7.37,7.7,7.37,7.47,7.47,2037300
5/26/2021,7.53,7.84,7.44,7.77,7.77,1680700
5/27/2021,7.88,7.88,7.61,7.82,7.82,1946200
5/28/2021,7.89,9.01,7.87,9.01,9.01,15461000
6/1/2021,8.85,8.9,8.11,8.25,8.25,7180900
6/2/2021,8.36,8.98,8.25,8.97,8.97,6217800
6/3/2021,8.91,9.36,8.54,8.56,8.56,6901700
6/4/2021,8.79,8.968,8.54,8.61,8.61,4020100
6/7/2021,8.62,9.08,8.48,9.06,9.06,3170400
6/8/2021,9.2,9.24,8.69,8.95,8.95,3283600
6/9/2021,8.96,9.42,8.9,9.03,9.03,4257200
6/10/2021,9.11,9.12,8.624,8.76,8.76,2508900
6/11/2021,8.78,8.94,8.7,8.91,8.91,1954000
6/14/2021,9.05,9.36,8.77,8.87,8.87,3489600
6/15/2021,8.91,9.129,8.693,8.72,8.72,2240900
6/16/2021,8.71,8.738,8.46,8.61,8.61,1676900
6/17/2021,8.57,8.75,8.46,8.56,8.56,1669100
6/18/2021,8.52,8.63,8.32,8.35,8.35,1887900
6/21/2021,8.35,8.6,8.2,8.56,8.56,1976200
6/22/2021,8.525,8.55,8.36,8.52,8.52,1241800
6/23/2021,8.54,8.795,8.52,8.65,8.65,1353500
6/24/2021,8.79,9.09,8.67,9.03,9.03,2402200
6/25/2021,9.03,9.06,8.84,8.88,8.88,1463300
6/28/2021,8.9,9.12,8.86,8.89,8.89,2108200
6/29/2021,8.97,9.088,8.65,8.7,8.7,1934900
6/30/2021,8.67,8.8,8.435,8.6,8.6,2330600
7/1/2021,8.6,8.71,8.42,8.58,8.58,1360600
7/2/2021,8.62,8.62,8.27,8.35,8.35,1616200
7/6/2021,8.33,8.42,8.09,8.1,8.1,1798000
7/7/2021,8.1,8.14,7.73,8,8,2308000
7/8/2021,7.81,8.03,7.735,7.99,7.99,1187300
7/9/2021,8.05,8.13,7.901,8.07,8.07,1050000
7/12/2021,8.02,8.137,7.88,8.04,8.04,1305900
7/13/2021,8.15,8.595,8.09,8.11,8.11,2630000
7/14/2021,8.21,8.26,7.64,7.67,7.67,2122400
7/15/2021,7.72,7.74,7.39,7.54,7.54,1708500
7/16/2021,7.58,7.59,7.12,7.18,7.18,2041900
7/19/2021,7.04,7.18,6.95,7.16,7.16,2036200
7/20/2021,7.19,7.36,7,7.33,7.33,1035600
7/21/2021,7.34,7.49,7.28,7.43,7.43,923500
7/22/2021,7.48,7.5,7.205,7.23,7.23,893200
7/23/2021,7.24,7.247,7.045,7.15,7.15,871400
7/26/2021,7.1,7.38,7.05,7.29,7.29,1326600
7/27/2021,7.25,7.285,7.02,7.13,7.13,1351200
7/28/2021,7.25,7.69,7.18,7.64,7.64,2528400
7/29/2021,7.74,7.76,7.46,7.56,7.56,1248600
7/30/2021,7.5,7.6,7.36,7.37,7.37,850400
8/2/2021,7.39,7.605,7.32,7.33,7.33,967900
8/3/2021,7.35,7.4,7.27,7.39,7.39,901300
8/4/2021,7.29,7.415,7.1,7.11,7.11,1384200
8/5/2021,7.13,7.56,7.071,7.41,7.41,1795600
8/6/2021,7.4,7.48,7.08,7.31,7.31,1522800
8/9/2021,7.22,7.28,7.04,7.22,7.22,2052000
8/10/2021,7.17,7.33,7.06,7.24,7.24,1778600
8/11/2021,7.21,7.22,6.86,6.92,6.92,2661300
8/12/2021,6.95,6.95,6.57,6.64,6.64,3011500
8/13/2021,6.65,6.66,6.41,6.47,6.47,4230000
8/16/2021,6.38,6.56,6.3,6.42,6.42,2149500
8/17/2021,6.35,6.55,6.31,6.37,6.37,1303900
8/18/2021,6.39,6.72,6.25,6.4,6.4,1812300
